seed,linear,polynomial (order 2),exponential (order 2),power (x + 10),sigmoid
0,0.9428758276215717,0.9923168089052133,0.9969293450050778,0.8798885880586241,0.994029915029312
1,0.9754457957776121,0.9834950472796228,0.9969732322155419,0.9748664982139834,0.9992429668624748
2,0.967342608594381,0.9731300443007246,0.9860492714955176,0.8806400174987007,0.9974899143760502
3,0.9776500849328652,0.9781944272307567,0.9860227771474646,0.9630379108008784,0.9959931253350343
4,0.9670496533084988,0.9671206196194427,0.9957147129307102,0.9540077783751306,0.9988386084954683
5,0.9557965551953075,0.9570883874484821,0.9828233338839422,0.898418570192739,0.9970998531630216
6,0.9375486723450174,0.9888661261311972,0.9989457366159146,0.7815068337135581,0.9982043385258406
7,0.9839011780882485,0.9862594510424757,0.9816473822820446,0.9300843666137093,0.9974818209508229
8,0.9686401334202647,0.9726135408903873,0.992914681700768,0.9699595289615712,0.9958958926726319
9,0.9365086898912883,0.9390894926814379,0.9824516541362392,0.9175485105626681,0.9972146295966259
10,0.9547624599030938,0.9704787644155375,0.9949431066092747,0.9671744802006826,0.997645905385553
11,0.952807349762392,0.9911464001721367,0.980754027959739,0.862900416787935,0.9924305333633472
12,0.968557867160152,0.9711862994594639,0.9762853312105622,0.8669759232547006,0.9981551713800877
13,0.9525290253354293,0.9665313250700404,0.9930274782948795,0.9453988352539303,0.995868975901751
14,0.9530818561896875,0.9780907902601937,0.9892763466442983,0.8439831018637538,0.9951375642333086
15,0.972987143392166,0.9733642812095943,0.9490622349718284,0.7549330512165708,0.9891513891617841
16,0.9690108153719839,0.9698386091655624,0.9768977846354727,0.9340329038316405,0.9924817176555836
17,0.976559864335117,0.9796172874652161,0.9952358553880722,0.9014311762280358,0.9959333725237032
18,0.9787500258204103,0.9835466894727579,0.9932272219303103,0.9452720400667154,0.997298817802821
19,0.9421914172718272,0.9608180460987031,0.833061010280282,0.0779826982302932,0.9827120504876132
20,0.9766699175406632,0.9768743019934826,0.9892044582384447,0.9173384178270648,0.9927930546163017
21,0.985323033128656,0.9869530710755056,0.979420113787648,0.941757626905168,0.9985457969056307
22,0.9523455138260603,0.9524831352442248,0.9964555113228208,0.9447173193791123,0.9901692812413471
23,0.9383672751218743,0.9711043636055691,0.9986154647771559,0.8773548722919421,0.9968688275574616
24,0.9848976940759246,0.9863901592193111,0.9738609744082487,0.9635443184611594,0.976464656711587
25,0.977689121647358,0.9777518074334369,0.9773293409794837,0.9610745983529475,0.9977150332943225
26,0.9648340961488979,0.9677959255331638,0.971298272942407,0.7554330232891314,0.9950945842692909
27,0.9576278978632741,0.973310322692768,0.9728580523598153,0.8805240522958429,0.9989637837338747
28,0.957822747547191,0.9617215700675048,0.9976027658527556,0.7990848668571384,0.98978198509653
29,0.96537135792629,0.9734136470715765,0.9943800197450069,0.9298386504696112,0.9972357030124425
30,0.9848861325498408,0.9882170411360989,0.971404284917284,0.9784484827037087,0.986075834693661
31,0.9435668903270612,0.9491510597054401,0.9680740999677568,0.9178083079067281,0.9865515458376104
32,0.963764540895922,0.9644687614267216,0.95534850705607,0.9181284804171567,0.9925227143397458
33,0.9527234841755766,0.972397754243272,0.9868852477695008,0.8338822562611653,0.9969579652825986
34,0.9655247168670053,0.9657457583349722,0.9832961721905447,0.6755776797484785,0.9963506021727722
35,0.9792282599381814,0.9817465559960638,0.9929532958940945,0.9100601649763668,0.9959562096273246
36,0.9594412696771427,0.960151155579027,0.9634799161442861,0.8785339507319768,0.9954435199779471
37,0.9800475883757366,0.9802449440725429,0.9912898228850481,0.9437171051682575,0.9970265200579917
38,0.9855075553309873,0.9856402587115901,0.9352733726297352,0.9075347644254569,0.9804014232029449
39,0.9674353270059732,0.9689332654782901,0.9882600439694186,0.8661363102912573,0.9947472667572105
40,0.9719495352140481,0.9719584362702032,0.967678482043454,0.8296262589375847,0.9981652875677206
41,0.9789652281178614,0.9813713827873853,0.9307221096773007,0.9277518833013347,0.9882524845161289
42,0.9614197838949506,0.9664522960216255,0.9963768859909906,0.9072392591831274,0.998289103606941
43,0.9718176473936032,0.9772806961799569,0.9845069642148242,0.8007588173016208,0.9891954363471618
44,0.9812657857063231,0.9841437741768954,0.9941660339372089,0.9515657515090304,0.9850875758265656
45,0.9205180163564891,0.9458982344908498,0.9587050296332676,0.7205606570556581,0.9979896448212857
46,0.9489488384265866,0.9510753400573423,0.9819072298991179,0.39892698480797284,0.997783101153373
47,0.9762600576559712,0.9793879568696986,0.9939383128716404,0.9780903977494726,0.9849576032944264
48,0.9601189841635306,0.9601565330381551,0.9763438102443526,0.8935324989523417,0.9921701006319182
49,0.9675510376054097,0.9773678367015977,0.9752759089831923,0.941278984279235,0.969697634115678
50,0.9692818037414357,0.9805238415864065,0.9856466793032242,0.7918461470794642,0.9985006882641646
51,0.9571780818270021,0.958120813730122,0.9888054134165387,0.929466557196857,0.9945724043523205
52,0.9471407870786792,0.9753192559166707,0.9970854708063434,0.9197804987481862,0.9980641526747378
53,0.9675017493931264,0.9701221893249077,0.9936829001064647,0.9098030942795697,0.9941927977107864
54,0.9617054063258363,0.9617102179239408,0.9971052778769103,0.9338582710233297,0.9981215273753568
55,0.9771035686712418,0.9771107524332648,0.9610783867275294,0.9002837355748592,0.9948930371132864
56,0.9742033127467821,0.9755616886610784,0.996394283501613,0.9299301763759914,0.9948893332993775
57,0.9433279416376079,0.9802416500878208,0.996055653396572,0.8610103853990595,0.9882495065973848
58,0.9636001513102995,0.9636578852047715,0.9752946895707503,0.8943975755294787,0.9953464076662414
59,0.9841584190857394,0.9843780514754092,0.9667377459285651,0.9369238783452741,0.9912596371093754
60,0.9801830046121189,0.9847132922218775,0.9913838020440301,0.9774192210586898,0.9967950804292472
61,0.9635189793179474,0.9729670270092079,0.9935466130469691,0.8778847619441459,0.9970365172435052
62,0.9715971490185589,0.9759748734370183,0.9803258159369879,0.7568737712118935,0.995218067476124
63,0.978519658843993,0.9788400368629857,0.9889559649584565,0.9366019090785331,0.9989081733249147
64,0.9910304348897084,0.9910524493747203,0.9748187073660647,0.9593307925089254,0.9951106520398386
65,0.9549967625246292,0.959171984531356,0.9842196364263813,0.861342691745587,0.9977688369019019
66,0.9712031943853677,0.9830892836566293,0.9850425447300549,0.9809566901550839,0.9973547068858052
67,0.9632178382758559,0.9645630866897303,0.9695311463199014,0.9161831844542552,0.9964067888205448
68,0.958546925695749,0.9625929390756065,0.9886648585620574,0.5057240832447529,0.9863847304340303
69,0.9834569698805988,0.9895503207537476,0.9411482709784265,0.9798535320756223,0.9724752225487006
70,0.9574417215238004,0.9714175678534679,0.9889405445080663,0.8413266564241486,0.9966955021477548
71,0.9655772385626311,0.9767610846339922,0.9846275300071133,0.8042820701130391,0.9954419496418124
72,0.9769240108808339,0.977907679330248,0.9979548881782706,0.9499990590856315,0.9775947174661983
73,0.928298493049835,0.960345038394397,0.9962974692191991,0.7434967940732672,0.9982953685964421
74,0.9643259697128945,0.9849890867168388,0.9705043612581147,0.6703618392307766,0.9933836036215138
75,0.983162867709024,0.9854227765438096,0.9639102008529814,0.877921328283511,0.9917302656013885
76,0.9370743627312597,0.9377194373086495,0.9733876196715698,0.6598802339863957,0.9970246411344864
77,0.9604717681843152,0.9636499382095055,0.9467643003853616,0.8550120516277188,0.9923631407194674
78,0.9517986745666905,0.958954272961525,0.997237474850771,0.8852637227974756,0.9960484399831586
79,0.9801275598485286,0.9836293420392375,0.9633944842869507,0.7867503681769874,0.9849581851068059
80,0.974049818555623,0.9746680925031194,0.9917350483564764,0.8781262470543496,0.9891845260587077
81,0.9625289673538507,0.968841929741256,0.9621094617765846,0.7930584164428004,0.9955110648150551
82,0.9541053019916588,0.9549279084913597,0.9879619393863446,0.7883615777091819,0.9897043447704819
83,0.9791107864850446,0.9857963472404646,0.9860927501166761,0.8269952292028073,0.9955792480245097
84,0.9615092284081656,0.9745526497574252,0.9382320772616581,0.8437412247869164,0.9881127935052533
85,0.9711855730561794,0.9747846976741426,0.9613844395847839,0.8660134476506918,0.9850887743355077
86,0.9690940460110599,0.973597877580324,0.9775101327760843,0.8877441563695267,0.9919277189945218
87,0.9688227628080007,0.9691244397254591,0.9818973713528797,0.9255736776260244,0.997560878569239
