n,digits,naive,pivoting
1,1,86.71328660773136,11.088911139175542
1,2,8.831122599018707,2.1091426890990563
1,3,1.4030968457703008,0.17007924592548818
1,4,0.09165828507313632,0.013054905579927837
1,6,0.0012801632461104087,0.00014241417566420545
1,8,6.067342739121757e-06,1.7649986803665384e-06
2,1,891.1967379103663,10.792293588067023
2,2,30.172846096029073,1.8474563676218665
2,3,20.704260967170683,0.08618590096376359
2,4,1.1107927269046058,0.01798504698135102
2,6,0.02166282253508128,8.615519447336805e-05
2,8,5.473364863018823e-05,1.4219631359958351e-06
4,1,99891.1999672018,10.007920029518376
4,2,10099.119996720181,1.9910239665458396
4,3,1099.911999672018,0.014897550719423372
4,4,199.9735999016054,0.004898560711854425
4,6,1.0763782803148187,0.00010114157911557165
4,8,0.011198207195239989,8.072010756104706e-07
8,1,999999891.2,10.000000791999996
8,2,100000099.12,1.9999991024000032
8,3,10000099.912,0.024998989747501595
8,4,100.0,0.009999119912000445
8,6,10099.999912,9.911999911331919e-05
8,8,28.125001955937464,2.3799999704259388e-06
